acceptedname	scientificnameauthorship	n_occs	matchType	confidence	status	id	speciesbeid	colid	vernacularnamefr	vernacularnamenl	parentid	distributionstatuscode	taxonranken	media	taxonomicstatusen	speciesbeparentid	bruenvi_created	bruenvi_modified	bruenvi_author	kingdom_id	bim_kingdom	name_for_gbif	rank_for_gbif	usageKey	scientificName	canonicalName	rank	kingdom	phylum	order	family	genus	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	synonym	class	acceptedUsageKey	species	speciesKey
Simocybe rubi form. tetraspora	NA	4243	NONE	100	NA	140	322	NA	NA	NA	32843	1a	forma	NA	accepted	44078	2015-04-29	NA	NA	3902	Fungi	NA	form	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Allocricetus bursae	NA	2642	NONE	100	NA	49826	_64133	NA	NA	NA	NA	NA	species	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Plationus patulus patulus	(Müller, 1786)	1610	NONE	99	NA	46492	59776	NA	NA	NA	46491	NA	subspecies	NA	accepted	59775	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Halticus apterus apterus	(Linnaeus, 1758)	1516	NONE	100	NA	1276	2185	NA	NA	NA	26217	0a	subspecies	NA	accepted	29195	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Lachnum soppitii	(Massee) Raitv.	1055	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	29811	37137	NA	NA	NA	42831	1a	species	NA	accepted	55931	2015-04-29	NA	NA	3902	Fungi	NA	species	2586173	Lachnum soppittii (Massee) Raitv.	Lachnum soppittii	SPECIES	Fungi	Ascomycota	Helotiales	Lachnaceae	Lachnum	5	95	179	1052	3295205	2581043	FALSE	Leotiomycetes	NA	Lachnum soppittii	2586173
Uropodea minima	Kramer, 1882	815	NONE	100	NA	49845	64113	NA	NA	NA	NA	NA	species	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Pelophylax kl. esculentus	NA	633	NONE	100	NA	50708	NA	NA	NA	NA	50707	NA	species	NA	accepted	NA	2015-04-29	2015-08-17	wdesmet	45974	Animalia	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Laccobius atrocephalus ytenensis	Shp., 1910	538	NONE	100	NA	1026	1933	NA	NA	NA	18352	0a	subspecies	NA	accepted	21056	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Barbatula barbatulus	(Linnaeus, 1758)	523	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	2524	3561	NA	loche franche	bermpje	39348	1a	species	NA	accepted	52342	2015-04-29	NA	NA	45974	Animalia	NA	species	5204862	Barbatula barbatula (Linnaeus, 1758)	Barbatula barbatula	SPECIES	Animalia	Chordata	Cypriniformes	Nemacheilidae	Barbatula	1	44	204	1153	6759123	2357544	FALSE	Actinopterygii	NA	Barbatula barbatula	5204862
Apterygothrips priesneri	zur Strassen, 1966	423	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	6464	7561	NA	NA	NA	34733	2d	species	NA	accepted	47704	2015-04-29	NA	NA	45974	Animalia	NA	species	8745264	Apterygothrips priesneri	Apterygothrips priesneri	SPECIES	Animalia	Arthropoda	Thysanoptera	Phlaeothripidae	Apterygothrips	1	54	216	1228	4386	1420336	FALSE	Insecta	NA	Apterygothrips priesneri	8745264
Diaporthe rijckholti	(Westend.) Nitschke	418	FUZZY_WITHOUT_AUTHOR	99	SYNONYM	28659	34339	NA	NA	NA	42389	1a	species	NA	accepted	55455	2015-04-29	NA	NA	3902	Fungi	NA	species	2567722	Diaporthe ryckholtii (Westend.) Nitschke, 1870	Diaporthe ryckholtii	SPECIES	Fungi	Ascomycota	Diaporthales	Diaporthaceae	Phomopsis	5	95	320	1289	4146	2577612	TRUE	Sordariomycetes	5253116	Phomopsis ryckholtii	5253116
Dicrostonyx gulielmi	(Stanford, 1870)	347	NONE	100	NA	49825	64132	NA	NA	NA	NA	NA	species	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Capra aegagrus f. domestica	NA	306	NONE	100	NA	50022	63830	NA	NA	NA	NA	NA	forma	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	form	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Macrosiagon sp.	NA	287	NONE	99	NA	18815	21542	NA	NA	NA	38006	0a	species	NA	accepted	50991	2015-04-29	NA	NA	45974	Animalia	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
